"","ID","Advertiser.ID","Media.Plans.Filter...Categories","Campaign.Campaign.Category...Campaign.Category...ID","Campaign.Type","Manager.ID","Management.Percent.Fee","Is.Utm.Enabled","Publish.Period.Start","Budget","Quality.Of.Advertise","Quality.Of.Business","Is.Official","Is.Short.Link.Enabled","Is.Competition.Or.Has.Award"
"1357",6934,22203,"زبان",4,"REACH",16,10,"True","2021-08-11",0,7,6,"True","True","False"
"1367",7248,12810,"طنز",5,"INFLUENCE",47,10,"True","2021-08-24",0,4,4,"True","True","False"
"1371",7357,23266,"تغذیه",3,"REACH",23,10,"False","2021-08-29",0,6,6,"True","True","False"
"1377",7847,24681,"اخبار",31,"REACH",23,10,"True","2021-09-15",0,6,6,"True","True","False"
"1378",7847,24681,"اخبار",14,"REACH",23,10,"True","2021-09-15",0,6,6,"True","True","False"
"1379",6528,21553,"آشپزی",12,"INFLUENCE",20,10,"True","2021-07-29",0,6,7,"True","True","False"
"1383",7308,3606,"روان‌شناسی",27,"REACH",16,10,"True","2021-08-26",0,5,4,"True","True","False"
"1395",7083,21996,"ورزش",6,"REACH",16,10,"True","2021-08-22",0,5,5,"True","True","False"
"1396",8308,21812,"کتاب",31,"REACH",23,10,"True","2021-09-26",0,6,6,"True","True","True"
"1397",8308,21812,"کتاب",2,"REACH",23,10,"True","2021-09-26",0,6,6,"True","True","True"
"1402",7470,23757,"خانواده",6,"REACH",23,10,"True","2021-09-02",0,7,6,"True","True","False"
"1409",6968,22607,"مد",31,"REACH",23,10,"True","2021-08-12",0,6,7,"True","True","False"
"1411",7004,22651,"خانواده",1,"REACH",23,10,"True","2021-08-14",0,7,7,"True","True","False"
"1412",7004,22651,"خانواده",33,"REACH",23,10,"True","2021-08-14",0,7,7,"True","True","False"
"1418",8314,26415,"سینما",8,"REACH",16,10,"True","2021-09-26",0,7,5,"True","True","False"
"1426",7995,25362,"مادر",2,"REACH",47,10,"True","2021-09-19",0,2,3,"True","True","False"
"1435",6472,21995,"زبان",6,"REACH",20,10,"True","2021-07-26",0,5,6,"True","True","False"
"1442",6467,22651,"خانواده",13,"REACH",25,10,"False","2021-07-25",0,4,5,"True","True","False"
"1443",6467,22651,"خانواده",33,"REACH",25,10,"False","2021-07-25",0,4,5,"True","True","False"
"1444",6467,22651,"خانواده",1,"REACH",25,10,"False","2021-07-25",0,4,5,"True","True","False"
"1451",6856,23160,"خانواده",27,"REACH",28,10,"True","2021-08-09",0,4,5,"True","True","False"
"1453",7983,25070,"مادر",16,"INFLUENCE",25,10,"True","2021-09-19",0,5,6,"True","True","False"
"1454",7152,21659,"آموزش",5,"REACH",5,10,"False","2021-09-16",0,4,4,"True","True","False"
"1458",6905,23480,"خانه",16,"INFLUENCE",25,10,"True","2021-08-21",0,4,5,"True","True","False"
"1459",6905,23480,"خانه",1,"INFLUENCE",25,10,"True","2021-08-21",0,4,5,"True","True","False"
"1460",6905,23480,"خانه",33,"INFLUENCE",25,10,"True","2021-08-21",0,4,5,"True","True","False"
"1470",7888,11167,"عکاسی",9,"INFLUENCE",47,10,"True","2021-09-15",0,3,4,"True","True","False"
"1471",7888,11167,"عکاسی",8,"INFLUENCE",47,10,"True","2021-09-15",0,3,4,"True","True","False"
"1475",7288,21799,"خانواده",6,"REACH",23,10,"True","2021-08-25",0,6,6,"True","True","False"
"1476",7288,21799,"خانواده",2,"REACH",23,10,"True","2021-08-25",0,6,6,"True","True","False"
"1487",7327,23196,"یادگیری",34,"INFLUENCE",25,10,"True","2021-09-13",0,2,3,"True","True","False"
"1495",6861,22099,"آشپزی",12,"REACH",23,10,"True","2021-08-09",0,7,7,"True","True","False"
"1496",6861,22099,"آشپزی",8,"REACH",23,10,"True","2021-08-09",0,7,7,"True","True","False"
"1497",8086,21812,"کتاب",2,"REACH",25,10,"True","2021-09-21",0,4,5,"True","True","False"
"1498",8086,21812,"کتاب",4,"REACH",25,10,"True","2021-09-21",0,4,5,"True","True","False"
"1501",6713,22520,"مد",3,"INFLUENCE",20,10,"True","2021-08-03",0,5,6,"True","True","False"
"1503",6400,711,"ورزش",6,"REACH",16,10,"True","2021-07-21",0,4,4,"True","True","False"
"1504",7094,4522,"مالی",19,"REACH",16,10,"True","2021-08-17",0,6,5,"True","True","False"
"1505",7094,4522,"مالی",8,"REACH",16,10,"True","2021-08-17",0,6,5,"True","True","False"
"1506",6716,23066,"خانواده",33,"REACH",20,10,"True","2021-08-03",0,5,6,"True","True","False"
"1537",7627,23924,"خانواده",18,"REACH",25,10,"True","2021-09-07",0,6,5,"True","True","False"
"1551",7155,13796,"آموزش",8,"REACH",28,0,"True","2021-08-18",0,6,6,"True","True","False"
"1552",7155,13796,"آموزش",5,"REACH",28,0,"True","2021-08-18",0,6,6,"True","True","False"
"1554",7730,13694,"سفر",15,"INFLUENCE",25,10,"True","2021-09-18",0,5,7,"True","True","False"
"1566",7418,23609,"تغذیه",20,"REACH",23,10,"True","2021-08-31",0,7,7,"True","True","False"
"1567",7418,23609,"تغذیه",8,"REACH",23,10,"True","2021-08-31",0,7,7,"True","True","False"
"1582",8289,12847,"پوشاک",6,"REACH",25,10,"True","2021-09-26",0,4,4,"True","True","False"
"1592",8118,24324,"طنز",6,"REACH",16,10,"True","2021-09-22",0,7,6,"True","True","False"
"1594",8491,3877,"طنز",8,"INFLUENCE",20,10,"True","2021-10-04",0,5,5,"True","True","False"
"1599",7927,25391,"آموزش",34,"REACH",25,10,"True","2021-09-18",0,3,4,"True","True","False"
"1600",7464,24697,"خودرو",22,"REACH",23,10,"True","2021-09-01",0,7,7,"True","True","False"
"1603",7926,25391,"آموزش",34,"REACH",25,10,"True","2021-09-16",0,4,4,"True","True","False"
"1605",7461,24541,"خانواده",2,"INFLUENCE",47,10,"True","2021-09-06",0,6,6,"True","True","False"
"1622",8479,26385,"رستوران",3,"REACH",16,10,"True","2021-10-02",0,6,6,"True","True","False"
"1625",8442,15732,"سبک",3,"REACH",47,10,"True","2021-09-30",0,3,3,"True","True","False"
"1626",8443,15732,"سبک",15,"REACH",47,10,"True","2021-09-30",0,5,5,"True","True","False"
"1627",8443,15732,"سبک",3,"REACH",47,10,"True","2021-09-30",0,5,5,"True","True","False"
"1628",9027,14083,"سبک",4,"INFLUENCE",54,10,"True","2021-10-28",0,4,4,"True","True","True"
"1633",7943,24112,"آموزش",34,"INFLUENCE",25,10,"True","2021-09-18",0,3,3,"True","True","False"
"1639",8378,25735,"مادر",3,"REACH",23,10,"True","2021-09-29",0,6,6,"True","True","False"
"1640",7049,20643,"مد",20,"REACH",5,10,"True","2021-08-15",0,6,6,"True","True","False"
"1641",7049,20643,"مد",15,"REACH",5,10,"True","2021-08-15",0,6,6,"True","True","False"
"1642",9265,22502,"سبک",3,"INFLUENCE",54,10,"True","2021-11-04",0,4,5,"True","True","False"
"1644",8452,24984,"سبک",3,"REACH",25,10,"True","2021-09-30",0,4,7,"True","True","True"
"1645",8452,24984,"سبک",16,"REACH",25,10,"True","2021-09-30",0,4,7,"True","True","True"
"1647",8789,27089,"مالی",9,"REACH",23,10,"True","2021-10-11",0,7,6,"True","True","False"
"1648",9268,28534,"توصیه",15,"INFLUENCE",54,10,"False","2021-10-30",0,4,3,"True","True","False"
"1653",8589,4000,"آموزش",8,"REACH",5,10,"True","2021-10-09",0,8,7,"True","True","False"
"1654",7793,12847,"آموزش",6,"REACH",16,10,"True","2021-09-13",0,6,6,"True","True","False"
"1655",11796,6561,"مادر",31,"REACH",5,10,"True","2021-12-19",0,8,8,"True","True","False"
"1659",7740,21892,"سبک",3,"INFLUENCE",47,10,"True","2021-09-18",0,5,5,"True","True","True"
"1673",7406,11743,"آموزش",8,"REACH",23,10,"True","2021-08-31",0,7,7,"True","True","False"
"1674",7406,11743,"آموزش",34,"REACH",23,10,"True","2021-08-31",0,7,7,"True","True","False"
"1681",8714,11021,"تکنولوژی",29,"REACH",5,10,"True","2021-10-09",0,8,8,"True","True","False"
"1683",7273,21996,"ورزش",20,"REACH",25,10,"True","2021-08-25",0,5,6,"True","True","False"
"1684",7273,21996,"ورزش",6,"REACH",25,10,"True","2021-08-25",0,5,6,"True","True","False"
"1686",6887,4033,"آشپزی",12,"REACH",20,10,"True","2021-08-10",0,6,9,"True","True","True"
"1703",8664,23954,"تکنولوژی",28,"REACH",16,10,"True","2021-10-07",0,7,7,"True","True","False"
"1704",14615,19729,"طنز",12,"REACH",86,10,"True","2022-01-31",0,6,7,"True","True","False"
"1711",8099,16290,"مادر",6,"REACH",16,10,"True","2021-09-21",0,5,5,"True","True","False"
"1713",8790,27532,"توصیه",15,"REACH",16,10,"True","2021-10-12",0,5,5,"True","True","False"
"1720",13931,15902,"پزشکی",15,"REACH",69,10,"True","2022-01-19",0,7,6,"True","True","True"
"1721",7575,11300,"خانه",13,"INFLUENCE",47,10,"True","2021-09-08",0,6,7,"True","True","False"
"1723",8264,7402,"آموزش",8,"REACH",16,10,"True","2021-09-26",0,6,6,"True","True","False"
"1732",9075,28114,"آموزش",5,"REACH",5,10,"False","2021-10-20",0,7,7,"True","True","False"
"1733",9075,28114,"آموزش",8,"REACH",5,10,"False","2021-10-20",0,7,7,"True","True","False"
"1745",8668,4818,"سبک",3,"INFLUENCE",25,10,"True","2021-10-10",0,5,6,"True","True","False"
