"","ID","Advertiser.ID","Media.Plans.Filter...Categories","Campaign.Campaign.Category...Campaign.Category...ID","Campaign.Type","Manager.ID","Management.Percent.Fee","Is.Utm.Enabled","Publish.Period.Start","Budget","Quality.Of.Advertise","Quality.Of.Business","Is.Official","Is.Short.Link.Enabled","Is.Competition.Or.Has.Award"
"748",4916,13163,"Financial",26,"REACH",23,10,"True","2021-05-17",0,9,8,"True","True","False"
"751",8065,13945,"Mother",26,"REACH",25,10,"False","2021-09-26",0,3,4,"True","True","False"
"752",6955,21659,"Education",5,"REACH",5,10,"True","2021-08-11",0,5,5,"True","True","False"
"753",5718,19767,"fashion",6,"REACH",28,10,"True","2021-06-28",0,7,6,"True","True","False"
"755",5925,16421,"Family",15,"REACH",20,10,"True","2021-07-05",0,5,5,"True","True","False"
"756",5925,16421,"Family",3,"REACH",20,10,"True","2021-07-05",0,5,5,"True","True","False"
"763",5280,1547,"News",28,"REACH",16,10,"True","2021-06-09",0,7,7,"True","True","False"
"768",5154,11635,"fashion",9,"INFLUENCE",25,10,"True","2021-06-01",0,5,5,"True","True","False"
"769",5154,11635,"fashion",5,"INFLUENCE",25,10,"True","2021-06-01",0,5,5,"True","True","False"
"784",5316,16172,"entertainment",6,"REACH",28,10,"True","2021-06-11",0,6,5,"True","True","False"
"798",6401,22114,"Family",7,"REACH",23,10,"True","2021-07-22",0,6,6,"True","True","False"
"799",6401,22114,"Family",9,"REACH",23,10,"True","2021-07-22",0,6,6,"True","True","False"
"800",6401,22114,"Family",2,"REACH",23,10,"True","2021-07-22",0,6,6,"True","True","False"
"809",6327,22126,"Education",9,"REACH",23,10,"True","2021-07-20",0,8,7,"True","True","False"
"810",6723,22607,"psychology",8,"REACH",23,10,"True","2021-08-08",0,6,6,"True","True","False"
"811",5325,9025,"fashion",15,"REACH",5,10,"True","2021-06-12",0,7,6,"True","True","False"
"812",5325,9025,"fashion",3,"REACH",5,10,"True","2021-06-12",0,7,6,"True","True","False"
"814",6199,22083,"style",3,"REACH",20,10,"True","2021-07-15",0,5,5,"True","True","True"
"822",4958,15168,"cooking",3,"INFLUENCE",5,10,"True","2021-05-19",0,8,6,"True","True","False"
"824",5486,3853,"Education",8,"INFLUENCE",20,10,"True","2021-06-21",0,3,4,"True","True","False"
"825",5297,16239,"psychology",27,"REACH",28,10,"True","2021-06-14",0,4,6,"True","True","False"
"830",5487,3853,"Financial",8,"INFLUENCE",20,10,"True","2021-06-21",0,3,4,"True","True","False"
"831",5391,11131,"Technology",9,"INFLUENCE",20,10,"True","2021-06-16",0,4,5,"True","True","False"
"832",5489,17299,"entertainment",9,"REACH",28,10,"False","2021-06-18",0,5,5,"True","True","False"
"833",5489,17299,"entertainment",10,"REACH",28,10,"False","2021-06-18",0,5,5,"True","True","False"
"843",5490,17329,"Home",33,"INFLUENCE",25,10,"True","2021-06-18",0,6,8,"True","True","False"
"844",5490,17329,"Home",16,"INFLUENCE",25,10,"True","2021-06-18",0,6,8,"True","True","False"
"845",5491,17359,"a trip",12,"INFLUENCE",25,10,"True","2021-06-18",0,6,8,"True","True","False"
"846",5834,2926,"style",33,"INFLUENCE",20,10,"True","2021-07-23",0,6,6,"True","True","False"
"847",6166,22023,"fashion",3,"INFLUENCE",25,10,"True","2021-07-25",0,6,3,"True","True","False"
"848",5547,13365,"Education",26,"REACH",23,10,"True","2021-06-21",0,6,6,"True","True","False"
"849",5547,13365,"Education",8,"REACH",23,10,"True","2021-06-21",0,6,6,"True","True","False"
"853",5573,9942,"News",31,"REACH",16,10,"True","2021-06-26",0,7,6,"True","True","False"
"863",6172,14405,"Family",20,"REACH",23,10,"True","2021-07-14",0,6,6,"True","True","True"
"864",6172,14405,"Family",7,"REACH",23,10,"True","2021-07-14",0,6,6,"True","True","True"
"865",6172,14405,"Family",9,"REACH",23,10,"True","2021-07-14",0,6,6,"True","True","True"
"866",6987,11167,"Photography",8,"INFLUENCE",25,10,"True","2021-08-13",0,6,5,"True","True","False"
"867",5168,11628,"Education",11,"REACH",25,10,"True","2021-05-31",0,6,7,"True","True","False"
"869",6203,16345,"comedy",8,"INFLUENCE",20,10,"True","2021-07-15",0,5,5,"True","True","False"
"871",5540,18161,"cooking",16,"REACH",16,10,"True","2021-06-22",0,3,4,"True","True","False"
"872",5540,18161,"cooking",28,"REACH",16,10,"True","2021-06-22",0,3,4,"True","True","False"
"881",12070,28797,"modeling",6,"REACH",71,10,"True","2021-12-20",0,7,5,"True","True","False"
"882",7328,23365,"cooking",7,"REACH",16,10,"True","2021-08-27",0,7,7,"True","True","True"
"883",7328,23365,"cooking",2,"REACH",16,10,"True","2021-08-27",0,7,7,"True","True","True"
"892",6275,20373,"a trip",31,"INFLUENCE",25,10,"True","2021-07-18",0,4,5,"True","True","False"
"893",6275,20373,"a trip",26,"INFLUENCE",25,10,"True","2021-07-18",0,4,5,"True","True","False"
"894",6275,20373,"a trip",4,"INFLUENCE",25,10,"True","2021-07-18",0,4,5,"True","True","False"
"896",5591,13624,"fashion",3,"REACH",25,10,"True","2021-06-24",0,5,7,"True","True","False"
"897",4030,5917,"Information",11,"INFLUENCE",5,10,"True","2021-03-19",0,6,6,"True","True","True"
"898",3476,9282,"Family",15,"REACH",5,10,"True","2021-02-04",0,7,7,"True","True","False"
"903",3025,8246,"News",24,"REACH",5,10,"True","2021-01-08",0,7,8,"True","True","False"
"911",2799,6547,"car",24,"REACH",5,10,"True","2020-12-26",0,7,7,"True","True","False"
"917",6202,22030,"style",12,"INFLUENCE",25,10,"True","2021-07-24",0,5,7,"True","True","False"
"919",5737,10859,"Sport",19,"REACH",16,10,"True","2021-07-05",0,7,7,"True","True","False"
"920",5737,10859,"Sport",11,"REACH",16,10,"True","2021-07-05",0,7,7,"True","True","False"
"928",17188,31766,"a trip",20,"INFLUENCE",86,10,"True","2022-04-02",0,6,6,"True","True","False"
"934",5758,15754,"fashion",6,"REACH",25,10,"True","2021-06-29",0,6,6,"True","True","False"
"940",5689,1697,"Technology",9,"REACH",5,10,"True","2021-06-28",0,6,6,"True","True","False"
"941",5674,16421,"cooking",3,"REACH",25,10,"True","2021-06-28",0,5,6,"True","True","False"
"945",7785,23360,"Mother",2,"INFLUENCE",47,10,"True","2021-09-15",0,5,5,"True","True","False"
"950",7948,24372,"style",3,"REACH",47,10,"True","2021-09-18",0,3,3,"True","True","False"
"951",5846,2869,"Education",7,"REACH",5,10,"True","2021-07-03",0,6,6,"True","True","False"
"952",5846,2869,"Education",5,"REACH",5,10,"True","2021-07-03",0,6,6,"True","True","False"
"954",5845,6049,"cooking",9,"REACH",5,10,"True","2021-07-01",0,7,7,"True","True","False"
"955",5845,6049,"cooking",12,"REACH",5,10,"True","2021-07-01",0,7,7,"True","True","False"
"958",7386,24523,"Education",3,"INFLUENCE",47,10,"True","2021-08-30",0,6,6,"True","True","False"
"959",6142,21848,"Home",33,"INFLUENCE",20,10,"True","2021-07-14",0,7,6,"True","True","False"
"960",5625,18843,"car",24,"REACH",5,10,"True","2021-06-26",0,8,7,"True","True","False"
"964",5850,15280,"style",6,"INFLUENCE",25,10,"True","2021-07-02",0,6,6,"True","True","False"
"966",6034,21749,"fashion",3,"REACH",5,10,"True","2021-07-09",0,6,6,"True","True","False"
"970",6297,17432,"Education",5,"REACH",28,10,"True","2021-07-19",0,5,6,"True","True","False"
"971",7787,13268,"Technology",31,"INFLUENCE",25,10,"True","2021-09-19",0,4,4,"True","True","False"
"978",5610,13630,"style",3,"INFLUENCE",20,10,"True","2021-06-25",0,5,2,"True","True","False"
"979",7656,25114,"Education",9,"INFLUENCE",25,10,"True","2021-09-08",0,4,6,"True","True","False"
"980",7193,19922,"style",15,"REACH",5,10,"True","2021-08-22",0,5,5,"True","True","False"
"984",6747,4128,"Sport",20,"REACH",5,10,"True","2021-08-04",0,6,5,"True","True","False"
"991",7879,25478,"to know",20,"REACH",16,10,"True","2021-09-15",0,7,6,"True","True","False"
"1001",16458,50855,"Mother",31,"REACH",69,10,"True","2022-03-01",0,7,7,"True","True","False"
"1005",6336,22381,"Sport",28,"REACH",28,10,"True","2021-07-20",0,5,6,"True","True","False"
"1007",6338,14757,"Education",5,"INFLUENCE",25,10,"True","2021-07-24",0,3,3,"True","True","False"
"1020",5881,20970,"fashion",31,"REACH",16,10,"True","2021-07-02",0,7,9,"True","True","True"
"1021",5881,20970,"fashion",6,"REACH",16,10,"True","2021-07-02",0,7,9,"True","True","True"
"1025",6911,22952,"Technology",10,"INFLUENCE",25,10,"True","2021-08-10",0,3,4,"True","True","False"
"1033",6964,711,"Sport",6,"REACH",16,10,"True","2021-08-12",0,6,6,"True","True","False"
"1034",6965,23525,"Technology",8,"REACH",25,10,"True","2021-08-12",0,3,4,"True","True","False"
"1036",6020,7616,"comedy",10,"REACH",5,10,"True","2021-07-08",0,8,8,"True","True","False"
"1044",8500,25618,"style",26,"INFLUENCE",47,10,"True","2021-10-05",0,4,4,"True","True","False"
"1050",6963,5805,"Nutrition",15,"REACH",5,10,"True","2021-08-21",0,8,7,"True","True","False"
"1055",6131,21812,"Language",4,"REACH",28,10,"True","2021-07-13",0,6,6,"True","True","True"
"1057",6995,23588,"style",33,"REACH",20,10,"True","2021-08-13",0,6,6,"True","True","False"
"1058",6995,23588,"style",16,"REACH",20,10,"True","2021-08-13",0,6,6,"True","True","False"
"1059",6995,23588,"style",1,"REACH",20,10,"True","2021-08-13",0,6,6,"True","True","False"
"1065",6235,15527,"comedy",7,"REACH",25,10,"True","2021-07-22",0,5,6,"True","True","False"
"1071",6770,1438,"Technology",33,"INFLUENCE",25,10,"True","2021-08-09",0,3,5,"True","True","False"
"1072",6770,1438,"Technology",9,"INFLUENCE",25,10,"True","2021-08-09",0,3,5,"True","True","False"
