name,type,color,_igraph_index,id
a_78794,FALSE,red,4404,4404
a_78812,FALSE,red,4405,4405
a_78837,FALSE,red,4406,4406
a_78881,FALSE,red,4407,4407
a_78919,FALSE,red,4408,4408
a_78949,FALSE,red,4409,4409
a_78976,FALSE,red,4410,4410
a_78994,FALSE,red,4411,4411
a_79014,FALSE,red,4412,4412
a_79015,FALSE,red,4413,4413
a_79073,FALSE,red,4414,4414
a_7908,FALSE,red,4415,4415
a_79101,FALSE,red,4416,4416
a_79134,FALSE,red,4417,4417
a_79152,FALSE,red,4418,4418
a_79158,FALSE,red,4419,4419
a_79169,FALSE,red,4420,4420
a_7921,FALSE,red,4421,4421
a_79220,FALSE,red,4422,4422
a_79260,FALSE,red,4423,4423
a_79276,FALSE,red,4424,4424
a_79291,FALSE,red,4425,4425
a_79326,FALSE,red,4426,4426
a_79382,FALSE,red,4427,4427
a_79438,FALSE,red,4428,4428
a_79439,FALSE,red,4429,4429
a_7944,FALSE,red,4430,4430
a_79457,FALSE,red,4431,4431
a_79508,FALSE,red,4432,4432
a_79515,FALSE,red,4433,4433
a_79526,FALSE,red,4434,4434
a_79560,FALSE,red,4435,4435
a_79565,FALSE,red,4436,4436
a_79621,FALSE,red,4437,4437
a_79625,FALSE,red,4438,4438
a_79648,FALSE,red,4439,4439
a_79658,FALSE,red,4440,4440
a_79667,FALSE,red,4441,4441
a_79680,FALSE,red,4442,4442
a_79690,FALSE,red,4443,4443
a_79790,FALSE,red,4444,4444
a_79807,FALSE,red,4445,4445
a_79813,FALSE,red,4446,4446
a_79852,FALSE,red,4447,4447
a_79865,FALSE,red,4448,4448
a_79868,FALSE,red,4449,4449
a_79869,FALSE,red,4450,4450
a_79880,FALSE,red,4451,4451
a_79884,FALSE,red,4452,4452
a_79897,FALSE,red,4453,4453
a_79930,FALSE,red,4454,4454
a_79938,FALSE,red,4455,4455
a_79954,FALSE,red,4456,4456
a_79955,FALSE,red,4457,4457
a_79977,FALSE,red,4458,4458
a_79980,FALSE,red,4459,4459
a_79988,FALSE,red,4460,4460
a_80003,FALSE,red,4461,4461
a_80009,FALSE,red,4462,4462
a_80035,FALSE,red,4463,4463
a_80036,FALSE,red,4464,4464
a_8004,FALSE,red,4465,4465
a_80043,FALSE,red,4466,4466
a_80057,FALSE,red,4467,4467
a_80092,FALSE,red,4468,4468
a_80112,FALSE,red,4469,4469
a_80148,FALSE,red,4470,4470
a_8016,FALSE,red,4471,4471
a_80167,FALSE,red,4472,4472
a_80187,FALSE,red,4473,4473
a_80188,FALSE,red,4474,4474
a_80198,FALSE,red,4475,4475
a_8020,FALSE,red,4476,4476
a_80226,FALSE,red,4477,4477
a_80238,FALSE,red,4478,4478
a_80249,FALSE,red,4479,4479
a_80253,FALSE,red,4480,4480
a_8027,FALSE,red,4481,4481
a_80311,FALSE,red,4482,4482
a_80312,FALSE,red,4483,4483
a_80334,FALSE,red,4484,4484
a_80348,FALSE,red,4485,4485
a_80361,FALSE,red,4486,4486
a_80374,FALSE,red,4487,4487
a_80382,FALSE,red,4488,4488
a_80406,FALSE,red,4489,4489
a_80411,FALSE,red,4490,4490
a_80413,FALSE,red,4491,4491
a_8042,FALSE,red,4492,4492
a_80420,FALSE,red,4493,4493
a_80455,FALSE,red,4494,4494
a_80475,FALSE,red,4495,4495
a_80477,FALSE,red,4496,4496
a_80507,FALSE,red,4497,4497
a_80559,FALSE,red,4498,4498
a_80575,FALSE,red,4499,4499
a_80595,FALSE,red,4500,4500
a_80596,FALSE,red,4501,4501
a_80609,FALSE,red,4502,4502
a_80626,FALSE,red,4503,4503
a_80635,FALSE,red,4504,4504
a_80683,FALSE,red,4505,4505
a_80716,FALSE,red,4506,4506
a_80721,FALSE,red,4507,4507
a_80732,FALSE,red,4508,4508
a_80743,FALSE,red,4509,4509
a_80757,FALSE,red,4510,4510
a_80758,FALSE,red,4511,4511
a_80759,FALSE,red,4512,4512
a_80791,FALSE,red,4513,4513
a_80837,FALSE,red,4514,4514
a_80871,FALSE,red,4515,4515
a_80896,FALSE,red,4516,4516
a_80906,FALSE,red,4517,4517
a_80911,FALSE,red,4518,4518
a_8095,FALSE,red,4519,4519
a_80960,FALSE,red,4520,4520
a_8098,FALSE,red,4521,4521
a_8103,FALSE,red,4522,4522
a_81039,FALSE,red,4523,4523
a_8106,FALSE,red,4524,4524
a_81061,FALSE,red,4525,4525
a_81102,FALSE,red,4526,4526
a_81120,FALSE,red,4527,4527
a_81126,FALSE,red,4528,4528
a_81142,FALSE,red,4529,4529
a_81163,FALSE,red,4530,4530
a_81166,FALSE,red,4531,4531
a_81207,FALSE,red,4532,4532
a_81220,FALSE,red,4533,4533
a_81223,FALSE,red,4534,4534
a_81244,FALSE,red,4535,4535
a_81248,FALSE,red,4536,4536
a_81267,FALSE,red,4537,4537
a_8129,FALSE,red,4538,4538
a_81305,FALSE,red,4539,4539
a_81319,FALSE,red,4540,4540
a_81330,FALSE,red,4541,4541
a_81335,FALSE,red,4542,4542
a_81340,FALSE,red,4543,4543
a_81353,FALSE,red,4544,4544
a_81356,FALSE,red,4545,4545
a_81359,FALSE,red,4546,4546
a_8136,FALSE,red,4547,4547
a_81372,FALSE,red,4548,4548
a_81389,FALSE,red,4549,4549
a_81390,FALSE,red,4550,4550
a_81392,FALSE,red,4551,4551
a_81453,FALSE,red,4552,4552
a_81454,FALSE,red,4553,4553
a_81456,FALSE,red,4554,4554
a_8147,FALSE,red,4555,4555
a_81476,FALSE,red,4556,4556
a_81505,FALSE,red,4557,4557
a_8151,FALSE,red,4558,4558
a_81512,FALSE,red,4559,4559
a_81526,FALSE,red,4560,4560
a_81557,FALSE,red,4561,4561
a_81604,FALSE,red,4562,4562
a_81606,FALSE,red,4563,4563
a_81620,FALSE,red,4564,4564
a_81663,FALSE,red,4565,4565
a_81681,FALSE,red,4566,4566
a_81689,FALSE,red,4567,4567
a_81693,FALSE,red,4568,4568
a_81699,FALSE,red,4569,4569
a_81700,FALSE,red,4570,4570
a_8171,FALSE,red,4571,4571
a_81745,FALSE,red,4572,4572
a_81750,FALSE,red,4573,4573
a_81768,FALSE,red,4574,4574
a_8177,FALSE,red,4575,4575
a_81782,FALSE,red,4576,4576
a_81813,FALSE,red,4577,4577
a_81873,FALSE,red,4578,4578
a_81874,FALSE,red,4579,4579
a_81885,FALSE,red,4580,4580
a_81900,FALSE,red,4581,4581
a_81901,FALSE,red,4582,4582
a_81924,FALSE,red,4583,4583
a_81939,FALSE,red,4584,4584
a_81953,FALSE,red,4585,4585
a_81958,FALSE,red,4586,4586
a_81965,FALSE,red,4587,4587
a_81987,FALSE,red,4588,4588
a_81998,FALSE,red,4589,4589
a_82002,FALSE,red,4590,4590
a_82011,FALSE,red,4591,4591
a_8204,FALSE,red,4592,4592
a_82059,FALSE,red,4593,4593
a_8206,FALSE,red,4594,4594
a_8210,FALSE,red,4595,4595
a_82104,FALSE,red,4596,4596
a_82128,FALSE,red,4597,4597
a_82143,FALSE,red,4598,4598
a_82148,FALSE,red,4599,4599
a_82157,FALSE,red,4600,4600
a_82163,FALSE,red,4601,4601
a_82173,FALSE,red,4602,4602
a_8222,FALSE,red,4603,4603
a_82221,FALSE,red,4604,4604
a_82233,FALSE,red,4605,4605
a_82239,FALSE,red,4606,4606
a_82241,FALSE,red,4607,4607
a_82249,FALSE,red,4608,4608
a_82258,FALSE,red,4609,4609
