Publishers
47622
56858
48669
13363
90163
33853
32324
74822
11846
5199
68688
61524
57429
24660
18519
61535
39007
71265
54882
1635
15976
19053
15986
15987
71795
30837
12920
24699
27772
24704
40581
29830
87687
67213
21140
29334
57505
43689
36009
30892
57011
42165
47286
40640
17089
192
19139
45765
72905
55503
25809
24798
27359
30438
13031
30441
63723
28907
30445
77039
58097
245
39159
28920
67322
28936
58635
57615
1810
27411
39188
30484
6934
25376
21797
22822
26410
56112
41780
59193
12091
15165
4925
2366
50501
58696
60233
57163
1867
69968
39250
42332
48481
20836
32109
7022
2929
60281
67450
54145
44417
8068
29067
48523
39307
54667
54668
9110
47523
8614
12716
14769
26044
30653
75713
26052
69061
58820
41415
11213
32206
4559
27094
66012
28125
74208
43501
48109
42489
41978
41979
