node1,node2,predicted_laybel
497,1867,0.7924863430292497
515,1867,0.7924863430292497
768,1867,0.7924863430292497
1264,1867,0.7924863430292497
2651,1867,0.7924863430292497
2783,1867,0.7924863430292497
2922,1867,0.7924863430292497
3349,3877,0.8902114945112585
3853,1867,0.7924863430292497
4128,8068,0.8499660592690017
4379,1867,0.7924863430292497
5102,1867,0.7924863430292497
5699,1867,0.7924863430292497
5713,1867,0.7924863430292497
5714,1867,0.7924863430292497
5725,1867,0.7924863430292497
5735,1867,0.7924863430292497
5736,1867,0.7924863430292497
5739,1867,0.7924863430292497
5745,1867,0.7924863430292497
5746,1867,0.7924863430292497
5754,1867,0.7924863430292497
5757,1867,0.7924863430292497
5771,1867,0.7924863430292497
5774,1867,0.7924863430292497
5775,1867,0.7924863430292497
5776,1867,0.7924863430292497
5785,1867,0.7924863430292497
5792,1867,0.7924863430292497
5801,1867,0.7924863430292497
5805,1867,0.7924863430292497
5807,1867,0.7924863430292497
5808,1867,0.7924863430292497
5815,1867,0.7924863430292497
5821,1867,0.7924863430292497
5822,1867,0.7924863430292497
5824,1867,0.7924863430292497
5825,1867,0.7924863430292497
5827,1867,0.7924863430292497
5828,1867,0.7924863430292497
5831,1867,0.7924863430292497
5838,1867,0.7924863430292497
5840,1867,0.7924863430292497
5845,1867,0.7924863430292497
5846,1867,0.7924863430292497
5848,1867,0.7924863430292497
5850,1867,0.7924863430292497
5851,1867,0.7924863430292497
5852,1867,0.7924863430292497
5853,1867,0.7924863430292497
5854,1867,0.7924863430292497
5856,1867,0.7924863430292497
5858,1867,0.7924863430292497
5860,1867,0.7924863430292497
5863,1867,0.7924863430292497
5864,1867,0.7924863430292497
5865,1867,0.7924863430292497
5868,1867,0.7924863430292497
5870,1867,0.7924863430292497
5874,1867,0.7924863430292497
5875,1867,0.7924863430292497
5876,1867,0.7924863430292497
5877,1867,0.7924863430292497
5881,1867,0.7924863430292497
5882,1867,0.7924863430292497
5884,1867,0.7924863430292497
5886,1867,0.7924863430292497
5893,1867,0.7924863430292497
5894,1867,0.7924863430292497
5895,1867,0.7924863430292497
5896,1867,0.7924863430292497
5898,1867,0.7924863430292497
5901,1867,0.7924863430292497
5902,1867,0.7924863430292497
5904,1867,0.7924863430292497
5905,1867,0.7924863430292497
5908,1867,0.7924863430292497
5909,1867,0.7924863430292497
5910,1867,0.7924863430292497
5914,1867,0.7924863430292497
5916,1867,0.7924863430292497
5919,1867,0.7924863430292497
5920,1867,0.7924863430292497
5921,1867,0.7924863430292497
